*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=D12_V2
*Date=09:21:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
114;;;35.9659;-33.947;0;Bottom;TXT1
115;220;THT;13.2715;-32.609;180;Bottom;R27
116;;THT;38.1;-64.613;90;Bottom;J1
117;220;THT;13.2715;-38.705;180;Bottom;R23
118;;;35.9902;-31.3753;0;Bottom;TXT1
119;;;74.6503;-34.7375;0;Bottom;TXT4
120;;;68.8339;-39.2131;0;Bottom;Via4
121;;;30.4946;-38.459;0;Bottom;Via42
122;;;45.4659;-55.7231;0;Bottom;Via39
123;;THT;20.32;-53.183;0;Bottom;J3
124;;;19.4895;-11.3642;72;Bottom;TXT4
125;220;THT;35.56;-26.513;0;Bottom;R4
126;220;THT;35.56;-23.973;0;Bottom;R5
127;;;62.7327;-62.6394;0;Bottom;TXT1
128;;[THT];22.1499;-31.8832;0;Bottom;S1
129;;;78.2319;-47.0871;0;Bottom;Via25
130;;THT;50.546;-43.785;180;Bottom;J10
131;;;23.4448;-59.2536;0;Bottom;TXT4
132;;;76.1868;-58.9646;0;Bottom;TXT4
133;;;35.8516;-28.8032;0;Bottom;TXT1
134;220;THT;85.0265;-36.419;0;Bottom;R15
135;;5 mm [THT];45.7201;-23.282;180;Bottom;LED1
136;;;75.4379;-32.3551;0;Bottom;Via15
137;;;23.9071;-51.6333;0;Bottom;TXT4
138;;;45.68;-18.5527;0;Bottom;TXT4
139;;;20.32;-37.4351;0;Bottom;Via27
140;;;24.13;-37.4351;0;Bottom;Via34
141;;;81.291;-39.6375;90;Bottom;TXT3
142;;;75.438;-4.92304;0;Bottom;Hole6
143;;;49.2015;-47.3382;0;Bottom;TXT4
144;;5 mm [THT];25.4;-22.124;0;Bottom;LED2
145;;;17.0466;-32.5917;-90;Bottom;TXT3
146;220;THT;62.9957;-55.2198;180;Bottom;R11
147;;;78.2319;-45.0551;0;Bottom;Via26
148;;;74.4219;-49.1191;0;Bottom;Via22
149;;;81.2791;-33.3868;90;Bottom;TXT3
150;220;THT;85.0265;-39.467;0;Bottom;R14
